Неделя;2026-W17
Дата;Время;Имя;Возраст;Пол;SessionID;Событие;Экран;Тест;Этап;Действие;Длительность_мс;X;Y;Крен;Значение;Примечание
25.04.2026;13:19:52;35;55;Мужской;20260425_131837_485032;stage_event;method_a;method_a_stage;3;stage_start;;;;;;axes=X,Y,Z
25.04.2026;13:20:53;35;55;Мужской;20260425_131837_485032;stage_report;method_a;method_a_stage;3;stage_end;60002;10.4113;2.3538;34.6788;0;"axes=X,Y,Z; gamma=1.7321; h=0.0000; tr=34.6788"
25.04.2026;13:20:53;35;55;Мужской;20260425_131837_485032;method_session;method_a;method_a;;completed;;;;;;json=method_a_results_20260425_131837_485032.json
25.04.2026;13:20:55;35;55;Мужской;20260425_131837_485032;summary;test_menu;method_a;;session_finished;;;;;3;Методика А завершена, данные добавлены в participants.csv и user_progress.json
25.04.2026;13:21:01;35;55;Мужской;20260425_131837_485032;menu_event;test_menu;test_a;;marked_completed;;;;;;Тест А завершён и сохранён.
25.04.2026;13:25:28;ук;44;Мужской;20260425_132528_915939;registration;start_page;;;submit;;;;;;Регистрационная форма принята. completed=-
25.04.2026;13:25:28;ук;44;Мужской;20260425_132528_915939;menu_event;test_menu;;;open_menu;;;;;;next=A
25.04.2026;13:25:29;ук;44;Мужской;20260425_132528_915939;menu_event;test_menu;test_a;;launch_requested;;;;;;Слежение за объектом
25.04.2026;13:25:31;ук;44;Мужской;20260425_132528_915939;method_session;method_a;method_a;;launch;;;;;;"Крен управляется колесом мыши; фон неба и объект-самолёт активированы"
25.04.2026;13:25:31;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;1;stage_start;;;;;;axes=X
25.04.2026;13:25:43;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;1;crash;10225;-451.208;26.87;0.0;1;"axes=X; y_tek=10.1858; y_sigma=26.8700; step=0.50s"
25.04.2026;13:25:44;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;1;crash;11620;453.875;29.513;0.0;2;"axes=X; y_tek=5.2857; y_sigma=29.5128; step=0.50s"
25.04.2026;13:25:45;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;1;crash;12034;447.702;36.574;0.0;3;"axes=X; y_tek=14.1219; y_sigma=36.5738; step=0.50s"
25.04.2026;13:25:45;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;1;crash;12317;-448.38;36.574;0.0;4;"axes=X; y_tek=14.1219; y_sigma=36.5738; step=0.50s"
25.04.2026;13:26:02;ук;44;Мужской;20260425_132528_915939;stage_report;method_a;method_a_stage;1;stage_end;30005;3.1306;1.4223;0.2007;4;"axes=X; gamma=0.9615; h=0.0385; tr=0.2007"
25.04.2026;13:26:02;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;2;stage_start;;;;;;axes=X,Y
25.04.2026;13:26:34;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;2;crash;30261;-473.088;29.178;0.0;1;"axes=X,Y; y_tek=11.6331; y_sigma=29.1782; step=0.50s"
25.04.2026;13:26:34;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;2;crash;30846;455.151;29.714;0.0;2;"axes=X,Y; y_tek=1.1134; y_sigma=29.7144; step=0.50s"
25.04.2026;13:26:35;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;2;crash;31799;-459.297;40.036;0.0;3;"axes=X,Y; y_tek=12.1219; y_sigma=40.0363; step=0.50s"
25.04.2026;13:26:36;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;2;crash;32418;472.843;40.036;0.0;4;"axes=X,Y; y_tek=0.0000; y_sigma=40.0363; step=0.50s"
25.04.2026;13:26:38;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;2;crash;34243;447.737;57.281;0.0;5;"axes=X,Y; y_tek=10.6513; y_sigma=57.2806; step=0.50s"
25.04.2026;13:26:43;ук;44;Мужской;20260425_132528_915939;stage_report;method_a;method_a_stage;2;stage_end;40008;4.7872;2.0175;0.4793;5;"axes=X,Y; gamma=1.3731; h=0.0590; tr=0.4793"
25.04.2026;13:26:43;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;stage_start;;;;;;axes=X,Y,Z
25.04.2026;13:27:34;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;49760;-447.294;103.686;-36.906;1;"axes=X,Y,Z; y_tek=30.6985; y_sigma=103.6859; step=0.50s"
25.04.2026;13:27:35;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;50766;-126.357;103.987;-6.036;2;"axes=X,Y,Z; y_tek=1.8256; y_sigma=103.9875; step=0.50s"
25.04.2026;13:27:36;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;51714;455.888;105.523;-5.688;3;"axes=X,Y,Z; y_tek=10.3056; y_sigma=105.5225; step=0.50s"
25.04.2026;13:27:37;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;52122;451.748;107.413;-2.448;4;"axes=X,Y,Z; y_tek=10.1640; y_sigma=107.4131; step=0.50s"
25.04.2026;13:27:38;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;53823;-453.196;114.788;-10.206;5;"axes=X,Y,Z; y_tek=13.5586; y_sigma=114.7878; step=0.50s"
25.04.2026;13:27:39;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;54482;-457.908;114.989;-3.954;6;"axes=X,Y,Z; y_tek=0.8997; y_sigma=114.9886; step=0.50s"
25.04.2026;13:27:40;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;55591;-307.729;120.676;-6.654;7;"axes=X,Y,Z; y_tek=17.2652; y_sigma=120.6764; step=0.50s"
25.04.2026;13:27:41;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;56104;473.015;123.047;-3.078;8;"axes=X,Y,Z; y_tek=8.4851; y_sigma=123.0468; step=0.50s"
25.04.2026;13:27:41;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;56611;469.576;125.865;-3.042;9;"axes=X,Y,Z; y_tek=10.9043; y_sigma=125.8646; step=0.50s"
